vie,"Vietnamese, Annamese, Ching, Gin, Jing, Kinh, Viet"
isl,"Icelandic, Íslenska"
gla,"Gaelic (Scottish), Gaelic, Gàidhlig, Scots Gaelic"
heb,"Hebrew, Israeli, Ivrit"
aeb,"Arabic (Tunisian Spoken), Tunisian, Tunisian Arabic, Tunisian Darija"
cmn,"Chinese (Mandarin), Beifang Fangyan, Guanhua, Guoyu, Hanyu, Huayu, Mandarin, Northern Chinese, Putonghua, Standard Chinese, Zhongguohua, Zhongwen"
nch,Nahuatl (Central Huasteca)
sax,"Sa, Saa"
sgg,"Swiss-German Sign Language, Natürliche Gebärde"
fsl,"French Sign Language, Langue des Signes Française, LSF"
pol,"Polish, Polnisch, Polski"
deu,"German (Standard), Deutsch, Tedesco"
ukr,Ukrainian
mal,"Malayalam, Alealum, Malayalani, Malayali, Malean, Maliyad, Mallealle, Mopla"
arn,"Mapudungun, “Araucano” (pej.), Mapuche, Mapudungu"
xmf,"Mingrelian, Margaluri, Megrel, Megruli"
cro,"Crow, Apsaalooke"
aze,Azerbaijani
epo,"Esperanto, Eo, La Lingvo Internacia"
que,Quechua
nsk,"Naskapi, Innu Aimun, Iyuw Iyimuuun"
lat,"Latin, Latina"
bpa,"Daakaka, Baiap, Dakaka, South Ambrym"
pne,"Penan (Western), Nibon, Nibong, “Punan” (pej.)"
row,"Dela-Oenale, Dela, Delha, Oe Nale, Rote, Rote Barat, Roti, Rotinese, Western Rote"
tts,"Thai (Northeastern), Esarn, Isaan, Isan, Issan, Thai Isaan"
ain,"Ainu, Ainu Itak"
sna,"Shona, Chishona, “Swina” (pej.), Zezuru"
oci,"Occitan, Occitani"
kor,"Korean, Hanguk Mal, Hanguk Uh"
nan,"Chinese (Min Nan), Minnan, Southern Min"
bgx,"Balkan Gagauz Turkish, Balkan Turkic"
kik,"Gikuyu, Gekoyo, Gigikuyu, Kikuyu"
hye,"Armenian, Armjanski Yazyk, Ena, Ermeni Dili, Ermenice, Somkhuri"
aae,"Albanian (Arbëreshë), Arbëreshë"
fra,"French, Français"
sen,"Sénoufo (Nanerigé), Naani, Nandereke, Nandergé, Nanergé, Nanergué"
man,Mandingo
ara,Arabic
gle,"Irish, Erse, Gaeilge, Gaelic Irish"
lzz,"Laz, Chan, Chanuri, Chanzan, Laze, Zan"
dhv,"Drehu, Dehu, De’u, Lifou, Lifu, Qene Drehu"
urd,"Urdu, Bihari"
nor,"Norwegian, Norsk"
jpn,Japanese
som,"Somali, Af-Maxaad Tiri, Af-Soomaali, Common Somali, Soomaaliga, Standard Somali"
hrv,"Croatian, Hrvatski"
coh,"Chichonyi-Chidzihana-Chikauma, Chonyi, Conyi, Kichonyi"
dig,"Chidigo, Digo, Kidigo"
dug,"Chiduruma, Duruma, “Wanyika” (pej.)"
nyf,"Kigiryama, Agiryama, Giriama, Giryama, Kigiriama, Kinyika, Nika, Nyika"
seg,"Segeju, Kisegeju, Sageju, Sengeju"
ben,"Bengali, Bangala, Bangla, Bangla-Bhasa"
thq,"Tharu (Kochila), Saptariya Tharu"
cym,"Welsh, Cymraeg"
tam,"Tamil, Damulian, Tamal, Tamalsan, Tambul, Tamili"
lim,"Limburgish, Limberger, Limburgan, Limburgian, Limburgic, Limburgs Plat"
lmo,"Lombard, Lombardo"
mri,"Maori, New Zealand Maori"
hsb,"Sorbian (Upper), Haut Sorabe, Hornjoserbski, Hornoserbski, Obersorbisch, Upper Lusatian, Wendish"
tur,"Turkish, Anatolian, Türkçe, Türkisch"
fij,"Fijian, Eastern Fijian, Fiji, Standard Fijian"
llp,"Efate (North), Nakanamanga"
ceb,"Cebuano, Binisaya, Bisayan, Sebuano, Sugbuanon, Sugbuhanon, Visayan"
ita,"Italian, Italiano"
cor,"Cornish, Curnoack, Kernewek, Kernowek"
bel,"Belarusan, Belarusian, Belorussian, Bielorussian, Byelorussian, White Russian, White Ruthenian"
llu,Lau
cab,"Garifuna, Black Carib, Caribe, Central American Carib, Garífuna"
hun,"Hungarian, Magyar"
ach,"Acholi, Acoli, Acooli, Akoli, Atscholi, Dok Acoli, Gang, Lëbacoli, Log Acoli, Lwo, Lwoo, Shuli"
jam,"Jamaican Creole English, Bongo Talk, Jamiekan, Limon Creole English, Patois, Patwa, Quashie Talk"
